group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench1,,,,,90958.0,ns,100
bench1,,,,,184500.0,ns,200
bench1,,,,,278416.0,ns,300
bench1,,,,,366041.0,ns,400
bench1,,,,,459416.0,ns,500
bench1,,,,,555875.0,ns,600
bench1,,,,,645708.0,ns,700
bench1,,,,,734750.0,ns,800
bench1,,,,,3126041.0,ns,900
bench1,,,,,917958.0,ns,1000
bench1,,,,,1016041.0,ns,1100
bench1,,,,,3249833.0,ns,1200
bench1,,,,,1286416.0,ns,1300
bench1,,,,,3729625.0,ns,1400
bench1,,,,,1745166.0,ns,1500
bench1,,,,,86467791.0,ns,1600
bench1,,,,,4639416.0,ns,1700
bench1,,,,,2808375.0,ns,1800
bench1,,,,,7043250.0,ns,1900
bench1,,,,,2230291.0,ns,2000
bench1,,,,,8522958.0,ns,2100
bench1,,,,,3909250.0,ns,2200
bench1,,,,,3014250.0,ns,2300
bench1,,,,,142808791.0,ns,2400
bench1,,,,,5619958.0,ns,2500
bench1,,,,,3374875.0,ns,2600
bench1,,,,,4933833.0,ns,2700
bench1,,,,,4859000.0,ns,2800
bench1,,,,,4292666.0,ns,2900
bench1,,,,,149619500.0,ns,3000
bench1,,,,,5327583.0,ns,3100
bench1,,,,,4757041.0,ns,3200
bench1,,,,,5304083.0,ns,3300
bench1,,,,,4792708.0,ns,3400
bench1,,,,,91266958.0,ns,3500
bench1,,,,,7404208.0,ns,3600
bench1,,,,,6625083.0,ns,3700
bench1,,,,,6459333.0,ns,3800
bench1,,,,,6982333.0,ns,3900
bench1,,,,,163297666.0,ns,4000
bench1,,,,,7414875.0,ns,4100
bench1,,,,,5981500.0,ns,4200
bench1,,,,,6112750.0,ns,4300
bench1,,,,,157849750.0,ns,4400
bench1,,,,,6747791.0,ns,4500
bench1,,,,,6383666.0,ns,4600
bench1,,,,,104325833.0,ns,4700
bench1,,,,,8902458.0,ns,4800
bench1,,,,,10565583.0,ns,4900
bench1,,,,,9090208.0,ns,5000
bench1,,,,,174686500.0,ns,5100
bench1,,,,,8571291.0,ns,5200
bench1,,,,,6787041.0,ns,5300
bench1,,,,,149350875.0,ns,5400
bench1,,,,,9556250.0,ns,5500
bench1,,,,,9713458.0,ns,5600
bench1,,,,,92034791.0,ns,5700
bench1,,,,,9817000.0,ns,5800
bench1,,,,,16879041.0,ns,5900
bench1,,,,,160408500.0,ns,6000
bench1,,,,,9831250.0,ns,6100
bench1,,,,,10831416.0,ns,6200
bench1,,,,,173590208.0,ns,6300
bench1,,,,,10111000.0,ns,6400
bench1,,,,,168705041.0,ns,6500
bench1,,,,,13485666.0,ns,6600
bench1,,,,,10405750.0,ns,6700
bench1,,,,,88099916.0,ns,6800
bench1,,,,,11752125.0,ns,6900
bench1,,,,,170195166.0,ns,7000
bench1,,,,,13938541.0,ns,7100
bench1,,,,,171690000.0,ns,7200
bench1,,,,,10656416.0,ns,7300
bench1,,,,,10456500.0,ns,7400
bench1,,,,,160186583.0,ns,7500
bench1,,,,,13334625.0,ns,7600
bench1,,,,,97856375.0,ns,7700
bench1,,,,,18525916.0,ns,7800
bench1,,,,,165131166.0,ns,7900
bench1,,,,,10651083.0,ns,8000
bench1,,,,,190128291.0,ns,8100
bench1,,,,,14814875.0,ns,8200
bench1,,,,,177523333.0,ns,8300
bench1,,,,,12728541.0,ns,8400
bench1,,,,,108582458.0,ns,8500
bench1,,,,,15682500.0,ns,8600
bench1,,,,,179120916.0,ns,8700
bench1,,,,,14392375.0,ns,8800
bench1,,,,,189093458.0,ns,8900
bench1,,,,,15200208.0,ns,9000
bench1,,,,,93146916.0,ns,9100
bench1,,,,,11574666.0,ns,9200
bench1,,,,,211586500.0,ns,9300
bench1,,,,,157830458.0,ns,9400
bench1,,,,,15371500.0,ns,9500
bench1,,,,,104512000.0,ns,9600
bench1,,,,,14061583.0,ns,9700
bench1,,,,,177152375.0,ns,9800
bench1,,,,,14844250.0,ns,9900
bench1,,,,,172095916.0,ns,10000
